Bullied_in_school,Bullied_outside_school,Cyber_bullied,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,Yes,Yes,14 years old,Female,0 times,2 or 3 times,Rarely,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,Yes,No
No,Yes,Yes,16 years old,Male,4 or 5 times,2 or 3 times,Most of the time,0,10 or more days,Sometimes,Always,Yes,Yes,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,Yes,No,No
No,No,No,15 years old,Male,0 times,4 or 5 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,10 or more days,Most of the time,Always,No,Yes,No,No,No
Yes,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,Yes,15 years old,Female,0 times,0 times,Always,3 or more,0 days,Sometimes,Most of the time,Yes,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,Yes,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Always,Yes,No,No,Yes,No
No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,Yes,Yes
No,No,No,16 years old,Male,0 times,0 times,Never,2,0 days,Most of the time,Always,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,No,No
No,Yes,Yes,14 years old,Female,0 times,0 times,Always,3 or more,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
No,No,Yes,15 years old,Male,0 times,0 times,Always,3 or more,0 days,Always,Never,Yes,No,No,No,No
No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,Yes,No
No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,Yes,No
No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,No,Yes,No
No,No,No,15 years old,Female,0 times,0 times,Most of the time,1,0 days,Sometimes,Always,Yes,No,No,No,No
No,No,Yes,17 years old,Male,1 time,1 time,Sometimes,2,0 days,Sometimes,Most of the time,No,No,No,No,No
Yes,Yes,Yes,16 years old,Female,1 time,1 time,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Never,1,10 or more days,Rarely,Never,No,Yes,No,No,No
No,No,No,17 years old,Female,0 times,0 times,Most of the time,2,6 to 9 days,Rarely,Always,Yes,Yes,No,No,No
No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
No,No,No,17 years old,Female,0 times,2 or 3 times,Always,1,0 days,Sometimes,Never,Yes,No,No,No,No
